Team Name,GP,Est.FC%,GF,GA,GD,GF%,SF,SA,SD,SF%,Sh%,Sv%,PDO,GF/GP,GA/GP,SF/GP,SA/GP
Brandon Wheat Kings,72,58.65,317,195,122,61.91,2835,2029,806,58.29,10.84,90.66,101.5,4.4,2.71,39.38,28.18
Victoria Royals,72,55.05,280,163,117,63.21,2378,2017,361,54.11,11.51,92.1,103.61,3.89,2.26,33.03,28.01
Edmonton Oil Kings,72,54.19,195,237,-42,45.14,2455,2071,384,54.24,7.83,88.86,96.69,2.71,3.29,34.1,28.76
Calgary Hitmen,72,53.95,243,217,26,52.83,2338,1909,429,55.05,9.97,88.96,98.93,3.38,3.01,32.47,26.51
Red Deer Rebels,72,53.8,258,203,55,55.97,2467,2173,294,53.17,10.17,91.08,101.25,3.58,2.82,34.26,30.18
Everett Silvertips,72,53.7,182,169,13,51.85,2106,1875,231,52.9,8.47,91.33,99.8,2.53,2.35,29.25,26.04
Seattle Thunderbirds,72,52.34,225,186,39,54.74,2244,2006,238,52.8,9.7,90.95,100.65,3.13,2.58,31.17,27.86
Spokane Chiefs,72,51.27,223,241,-18,48.06,2137,2107,30,50.35,10.14,88.77,98.91,3.1,3.35,29.68,29.26
Kelowna Rockets,72,50.49,265,218,47,54.87,2318,2290,28,50.3,11.05,90.6,101.65,3.68,3.03,32.19,31.81
Prince George Cougars,72,50.47,237,223,14,51.52,2406,2264,142,51.52,9.47,90.59,100.06,3.29,3.1,33.42,31.44
Lethbridge Hurricanes,72,49.79,302,217,85,58.19,2351,2360,-9,49.9,12.36,91.31,103.67,4.19,3.01,32.65,32.78
Prince Albert Raiders,72,49.5,219,222,-3,49.66,2243,2300,-57,49.37,9.4,90.7,100.1,3.04,3.08,31.15,31.94
Regina Pats,72,49.49,239,248,-9,49.08,2409,2475,-66,49.32,9.47,90.27,99.74,3.32,3.44,33.46,34.38
Vancouver Giants,72,48.81,198,269,-71,42.4,2157,2383,-226,47.51,9.05,89.09,98.14,2.75,3.74,29.96,33.1
Kamloops Blazers,72,48.53,235,214,21,52.34,2255,2437,-182,48.06,10.06,91.33,101.39,3.26,2.97,31.32,33.85
Medicine Hat Tigers,72,48.41,221,285,-64,43.68,2446,2464,-18,49.82,8.74,88.72,97.46,3.07,3.96,33.97,34.22
Tri-City Americans,72,47.87,234,252,-18,48.15,2069,2222,-153,48.22,11.01,89.14,100.15,3.25,3.5,28.74,30.86
Portland Winterhawks,72,46.75,226,226,0,50,2275,2536,-261,47.29,9.66,91.23,100.89,3.14,3.14,31.6,35.22
Swift Current Broncos,72,46.42,186,246,-60,43.06,2225,2530,-305,46.79,8.11,90.67,98.78,2.58,3.42,30.9,35.14
Saskatoon Blades,72,46.06,218,318,-100,40.67,2139,2512,-373,45.99,9.98,87.51,97.49,3.03,4.42,29.71,34.89
Moose Jaw Warriors,72,45.32,248,237,11,51.13,2196,2611,-415,45.68,10.97,91.31,102.28,3.44,3.29,30.5,36.26
Kootenay Ice,72,40.43,154,319,-165,32.56,1875,2753,-878,40.51,8.16,88.67,96.83,2.14,4.43,26.04,38.24